x,y
1540.93,2559.38
1542.2,1806.09
1542.77,2561.94
1544.52,2562.6
1545.53,2567.69
1546.6,3907.52
1549.94,2112.59
1551.68,2563.52
1552.37,1407.26
1552.6,2722.07
1553.24,1965.43
1553.71,1332.39
1555.09,2697.11
1556.32,2679.57
1557.49,1197.84
1559.4,1964.19
1559.97,1194.44
1560.03,1928.49
1560.13,3000.82
1562.87,1700.4
1563.16,1351.8
1563.45,2688.8
1563.48,3005.13
1564.69,1695.99
1564.71,1697.24
1566.16,1701.51
1566.45,3009.44
1567.74,3010.37
1577.73,1638.72
1577.78,1635.03
1580.57,1211.15
1581.3,2433.36
1582.83,2293.07
1583.4,1636.85
1584.62,1194.85
1584.82,2033.09
1585.91,1009.34
1586.66,1177.89
1591.47,3127.53
1592.83,3121.27
1594.35,1813.69
1595.06,1014.94
1595.9,1807.6
1596.1,1809.09
1599.67,2423.58
1599.95,1815.45
1602.57,1213.05
1603.74,2422.31
1603.75,384.41
1604.7,1708.21
1604.96,1708.38
1605.85,375.93
1606.26,1706.13
1606.35,2421.95
1606.36,382.98
1606.97,2458.58
1607.43,377.48
1608.05,2420.91
1608.98,381.05
1610.33,1816.4
1610.53,2972.82
1611.09,378.96
1611.41,385.43
1612.66,386.74
1613.18,1202.12
1614.06,377.04
1618.23,1006.54
1618.3,1466.26
1619.33,2819.55
1619.76,1462.41
1622.2,1465.9
1622.23,2820.7
1623.97,1466.97
1624.32,1139.48
1627.09,2567.12
1627.65,2961.77
1628.92,786.53
1629.49,2567.05
1631.38,784.94
1632.46,2568.3
1633.69,3917.49
1636.63,783.34
1637.13,778.23
1637.49,3918.73
1639.33,2569.38
1641.18,1823.05
1644.9,1931.9
1645.09,1226.51
1646.42,2163.12
1647.66,2398.78
1650.81,3108.43
1651.81,3104.49
1651.9,3089.9
1652.45,1925.96
1653.01,1826.03
1653.5,1648.68
1658.28,3101.96
1660.84,2189.73
1663.38,1236.62
1665.13,1601.97
1668.76,2699.88
1670.15,1089.32
1671.91,2189.14
1673.67,2039.26
1673.77,2033.83
1675.59,1116.76
1675.86,2196.46
1675.9,2136.03
1677.2,1299.35
1677.63,2135.82
1684.15,1931.13
1687.27,2922.54
1688.13,1519.42
1688.22,2921.27
1691.57,2924.29
1692.34,2386.25
1692.5,2923.9
1693.77,2697.75
1694.04,1507.63
1694.79,2917.67
1701.77,2262.34
1703.49,1128.19
1706.25,275.59
1706.96,1913.5
1708.32,3242.85
1709.48,1840.45
1710.67,1840.5
1711.2,2320.55
1712.18,2967.78
1713.23,1842.37
1716.1,1843.72
1716.73,1069.75
1717.55,1844.16
1717.83,1236.31
1718.05,1317.63
1718.83,2388.86
1719.1,2382.71
1720.06,1235.87
1721.64,2415.6
1721.77,2896.09
1722.64,2414.86
1723.75,2459.05
1723.77,1155.58
1725.24,2383.17
1725.36,3091.05
1730.39,1257.86
1732.6,1257.29
1733.26,1255.24
1738.8,1017.01
1742.74,1191.13
1742.98,3103.3
1743.6,1175.46
1744.27,3077.28
1745.7,3093.23
1746.25,606.84
1746.3,587.31
1748.3,643.77
1748.64,2981.0
1749.67,2970.66
1753.3,577.43
1754.22,1391.28
1754.31,1569.72
1754.91,618.43
1756.75,1561.18
1756.92,645.57
1757.41,643.33
1757.64,574.44
1758.05,996.54
1758.22,1019.51
1758.34,643.82
1760.53,621.53
1765.61,1627.23
1768.17,571.19
1768.76,1730.7
1771.89,1422.94
1776.89,2384.69
1778.25,1229.67
1779.55,573.08
1781.0,995.87
1781.56,733.34
1782.28,739.02
1782.39,735.89
1783.11,745.44
1786.19,616.99
1788.09,2850.78
1790.13,2032.19
1790.38,2849.71
1792.69,2981.25
1793.78,2848.02
1795.13,590.21
1795.24,2847.73
1795.68,599.41
1795.7,1103.55
1796.36,2847.05
1797.27,2844.27
1797.45,2844.2
1797.61,1959.23
1798.38,1669.78
1798.83,2844.14
1799.72,1669.41
1800.18,2472.76
1800.54,1920.63
1802.66,2842.33
1803.16,816.98
1803.95,823.42
1804.06,819.88
1804.38,569.23
1804.41,828.6
